id,name,field,truth_value,source_url,notes
2,HubSpot,auth_methods,,,
2,HubSpot,access,,,
2,HubSpot,api_type,,,
2,HubSpot,existing_mcp,,,
2,HubSpot,webhooks,,,
2,HubSpot,verdict,,,
10,DealCloud,auth_methods,,https://api.docs.dealcloud.com/,
10,DealCloud,access,,https://api.docs.dealcloud.com/,
10,DealCloud,api_type,,https://api.docs.dealcloud.com/,
10,DealCloud,existing_mcp,,https://api.docs.dealcloud.com/,
10,DealCloud,webhooks,,https://api.docs.dealcloud.com/,
10,DealCloud,verdict,,https://api.docs.dealcloud.com/,
11,Zendesk,auth_methods,,https://developer.zendesk.com/api-reference/,
11,Zendesk,access,,https://developer.zendesk.com/api-reference/,
11,Zendesk,api_type,,https://developer.zendesk.com/api-reference/,
11,Zendesk,existing_mcp,,https://developer.zendesk.com/api-reference/,
11,Zendesk,webhooks,,https://developer.zendesk.com/api-reference/,
11,Zendesk,verdict,,https://developer.zendesk.com/api-reference/,
20,Gladly,auth_methods,,https://developer.gladly.com/rest/,
20,Gladly,access,,https://developer.gladly.com/rest/,
20,Gladly,api_type,,https://developer.gladly.com/rest/,
20,Gladly,existing_mcp,,https://developer.gladly.com/rest/,
20,Gladly,webhooks,,https://developer.gladly.com/rest/,
20,Gladly,verdict,,https://developer.gladly.com/rest/,
21,Slack,auth_methods,,https://docs.slack.dev/,
21,Slack,access,,https://docs.slack.dev/,
21,Slack,api_type,,https://docs.slack.dev/,
21,Slack,existing_mcp,,https://docs.slack.dev/,
21,Slack,webhooks,,https://docs.slack.dev/,
21,Slack,verdict,,https://docs.slack.dev/,
28,WhatsApp Business,auth_methods,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
28,WhatsApp Business,access,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
28,WhatsApp Business,api_type,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
28,WhatsApp Business,existing_mcp,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
28,WhatsApp Business,webhooks,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
28,WhatsApp Business,verdict,,https://developers.facebook.com/docs/whatsapp/cloud-api/overview,
32,Meta Ads,auth_methods,,https://developers.facebook.com/docs/marketing-apis,
32,Meta Ads,access,,https://developers.facebook.com/docs/marketing-apis,
32,Meta Ads,api_type,,https://developers.facebook.com/docs/marketing-apis,
